"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3862","Fail to create product (invalid category): {""productName"":""NinzaProdQA5"",""quantity"":""50"",""price"":""300"",""vendor"":""Vendor_68300 - (Electronics)"",""snapshot"":""landing-7.png""}","chrome","Fri Jul 18 22:10:41 PDT 2025","passed","Fri Jul 18 22:10:44 PDT 2025","","addproducts.spec.js","",""
"","396","Verify category dropdown values","chrome","Fri Jul 18 22:10:48 PDT 2025","passed","Fri Jul 18 22:10:48 PDT 2025","","addproducts.spec.js","",""
"","4406","Fail to create product (invalid): {""productName"":""NinzaProdQA7"",""quantity"":""-50"",""price"":""300"",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)"",""snapshot"":""landing-4.png""}","chrome","Fri Jul 18 22:10:28 PDT 2025","passed","Fri Jul 18 22:10:33 PDT 2025","","addproducts.spec.js","",""
"","3151","Fail to create product (invalid vendor): {""productName"":""NinzaProdQA10"",""quantity"":""50"",""price"":""300"",""category"":""Electronics"",""snapshot"":""landing-8.png""}","chrome","Fri Jul 18 22:10:44 PDT 2025","passed","Fri Jul 18 22:10:48 PDT 2025","","addproducts.spec.js","",""
"","2715","Create product successfully: {""productName"":""NinzaProdQA21"",""quantity"":""50"",""price"":""300"",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)""}","chrome","Fri Jul 18 22:09:52 PDT 2025","passed","Fri Jul 18 22:09:55 PDT 2025","","addproducts.spec.js","",""
"","3391","Failed to add product - duplicate product","chrome","Fri Jul 18 22:11:11 PDT 2025","failed","Fri Jul 18 22:11:15 PDT 2025","","addproducts.spec.js","",""
"","3895","Fail to create product (invalid): {""productName"":""NinzaProdQA8"",""quantity"":""50"",""price"":"""",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)"",""snapshot"":""landing-5.png""}","chrome","Fri Jul 18 22:10:33 PDT 2025","passed","Fri Jul 18 22:10:37 PDT 2025","","addproducts.spec.js","",""
"","7299","Create product successfully: {""productName"":""NinzaProdQA4"",""quantity"":""50"",""price"":""89.99"",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)""}","chrome","Fri Jul 18 22:10:05 PDT 2025","passed","Fri Jul 18 22:10:12 PDT 2025","","addproducts.spec.js","",""
"","3936","Fail to create product (invalid): {""productName"":""NinzaProdQA9"",""quantity"":""50"",""price"":""-300"",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)"",""snapshot"":""landing-6.png""}","chrome","Fri Jul 18 22:10:37 PDT 2025","passed","Fri Jul 18 22:10:40 PDT 2025","","addproducts.spec.js","",""
"","3999","Fail to create product (invalid): {""productName"":""NinzaProdQA6"",""quantity"":"""",""price"":""300"",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)"",""snapshot"":""landing-3.png""}","chrome","Fri Jul 18 22:10:24 PDT 2025","passed","Fri Jul 18 22:10:28 PDT 2025","","addproducts.spec.js","",""
"","261","Verify default Quantity value","chrome","Fri Jul 18 22:10:49 PDT 2025","passed","Fri Jul 18 22:10:50 PDT 2025","","addproducts.spec.js","",""
"","3900","Fail to create product (invalid): {""productName"":""NinzaProdQA3"",""quantity"":""60.79"",""price"":""300"",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)"",""snapshot"":""landing-2.png""}","chrome","Fri Jul 18 22:10:20 PDT 2025","passed","Fri Jul 18 22:10:24 PDT 2025","","addproducts.spec.js","",""
"","8222","Fail to create product (invalid): {""productName"":"""",""quantity"":""50"",""price"":""300"",""category"":""Electronics"",""vendor"":""Vendor_68300 - (Electronics)"",""snapshot"":""landing-1.png""}","chrome","Fri Jul 18 22:10:12 PDT 2025","passed","Fri Jul 18 22:10:20 PDT 2025","","addproducts.spec.js","",""
"","1532","Verify vendor dropdown values","chrome","Fri Jul 18 22:10:48 PDT 2025","passed","Fri Jul 18 22:10:49 PDT 2025","","addproducts.spec.js","",""
